C73       100nF          C_0805_2012Metric                -204.5970    28.0670   90.0000  bottom
C74       100nF          C_0805_2012Metric                -188.2140    85.2170  270.0000  bottom
C75       100nF          C_0805_2012Metric                -202.5650    47.1170  270.0000  bottom
C77       100nF          C_0805_2012Metric                -199.8980   104.2670   90.0000  bottom
C78       100nF          C_0805_2012Metric                -209.4230    66.1670   90.0000  bottom
C79       100nF          C_0805_2012Metric                -223.6470    28.0670   90.0000  bottom
C80       100nF          C_0805_2012Metric                -207.2640    85.2170  270.0000  bottom
C81       100nF          C_0805_2012Metric                -221.6150    47.1170  270.0000  bottom
C82       100nF          C_0805_2012Metric                -218.9480   104.2670   90.0000  bottom
C83       100nF          C_0805_2012Metric                -228.4730    66.1670   90.0000  bottom
C84       100nF          C_0805_2012Metric                -242.6970    28.0670   90.0000  bottom
C85       100nF          C_0805_2012Metric                -226.3140    85.2170  270.0000  bottom
C86       100nF          C_0805_2012Metric                -240.6650    47.1170  270.0000  bottom
C87       100nF          C_0805_2012Metric                -237.9980   104.2670   90.0000  bottom
C88       100nF          C_0805_2012Metric                -247.5230    66.1670   90.0000  bottom
C89       100nF          C_0805_2012Metric                -268.9860    28.0670   90.0000  bottom
C90       100nF          C_0805_2012Metric                -245.3640    85.2170  270.0000  bottom
C91       100nF          C_0805_2012Metric                -271.6530    47.1170  270.0000  bottom
C92       100nF          C_0805_2012Metric                -257.0480   104.2670   90.0000  bottom
C93       100nF          C_0805_2012Metric                -266.5730    66.1670   90.0000  bottom
C94       100nF          C_0805_2012Metric                -295.1480    28.0670   90.0000  bottom
C95       100nF          C_0805_2012Metric                -273.9390    85.2170  270.0000  bottom
C96       100nF          C_0805_2012Metric                -302.5140    47.1170  270.0000  bottom
C97       100nF          C_0805_2012Metric                -276.0980   104.2670   90.0000  bottom
C98       100nF          C_0805_2012Metric                -290.3220    66.1670   90.0000  bottom
C99       100nF          C_0805_2012Metric                -314.1980    28.0670   90.0000  bottom
C100      100nF          C_0805_2012Metric                -302.5140    85.2170  270.0000  bottom
C101      100nF          C_0805_2012Metric                -295.1480   104.2670   90.0000  bottom
C102      100nF          C_0805_2012Metric                -314.1980    66.1670   90.0000  bottom
